default_land=plains
default_sea=sea
default_coastal_sea=coastal_sea

# Only override provinces that should not be plains.

################
# HELLAS
################

## HELLAS ###################################

### LAKEDAIMON
59=farmlands # b_mantineia_mantineia
85=valley # b_stymphalos_mantineia
60=farmlands # b_tegea_tegea
61=hills # b_dipaia_tegea

### ARGOLIS
71=farmlands # b_argos_argos
#69=plains # b_asine_argos
70=hills # b_heraion_argos
72=hills # b_lerna_argos
#64=plains # b_troizen_troizen
65=hills # b_hermione_hermione
67=hills # b_didymoi_hermione
66=hills # b_epidauros_epidauros
68=hills # b_asklepieion_epidauros
73=hills # b_eua_thyreatis
74=farmlands # b_anthana_thyreatis
#75=plains # b_aigina_aigina
80=hills # b_kleonai_kleonai
81=hills # b_nemea_kleonai
84=forest # b_phleious_phleious

### KORINTHIA
78=farmlands # b_korinthos_korinthos
77=hills # b_isthmia_korinthos
79=hills # b_boukephalos_korinthos
834=mountains # b_oinoe_korinthos
82=farmlands # b_sikyon_sikyon
83=hills # b_titane_sikyon
86=farmlands # b_megara_megara
380=hills # b_pagai_megara

### ATTIKE
91=farmlands # b_athenai_athenai
#92=plains # b_pallene_athenai
837=farmlands # b_acharnai_athenai
838=hills # b_aphidna_athenai
#90=plains # b_peiraieus_peiraieus
89=hills # b_salamis_peiraieus
88=farmlands # b_eleusis_eleusis
87=hills # b_eleutherai_eleusis
836=hills # b_panakton_eleusis
94=hills # b_thorikos_thorikos
93=farmlands # b_anagyros_thorikos
#95=plains # b_myrrinous_thorikos
97=hills # b_rhamnous_marathon
#96=plains # b_marathon_marathon

### BOIOTIA
103=farmlands # b_thespiai_thespiai
105=hills # b_thisbe_thespiai
106=farmlands # b_koroneia_thespiai
102=farmlands # b_thebai_thebai
101=hills # b_akraiphiai_thebai
100=hills # b_anthedon_thebai
835=hills # b_hyettos_thebai
108=farmlands # b_orchomenos_orchomenos_boiotia
107=farmlands # b_chaironeia_orchomenos_boiotia
99=farmlands # b_tanagra_tanagra
#98=plains # b_oropos_tanagra
#104=plains # b_plataia_tanagria

### PHOKIS
114=farmlands # b_elateia_elateia
115=hills # b_daphnous_elateia
#116=plains # b_lilaia_elateia
111=hills # b_antikyra_antikyra
113=hills # b_daulis_antikyra
110=hills # b_medeon_antikyra
117=hills # b_erineos_doris
112=valley # b_delphi_delphi

### LOKRIS
123=valley # b_amphissa_amphissa
124=hills # b_oiantheia_amphissa
#125=plains # b_naupaktos_naupaktos
856=hills # b_poteidania_naupaktos
857=hills # b_makyneia_naupaktos
#121=plains # b_opous_opous
120=hills # b_halai_opous
#122=plains # b_thronion_thronion

### AITOLIA
129=hills # b_thermon_thermon
#130=plains # b_trichonion_thermon
133=farmlands # b_agrinion_thermon
127=hills # b_kallion_kallion
128=hills # b_teichion_kallion
131=farmlands # b_kalydon_kalydon
859=farmlands # b_pleuron_kalydon
860=hills # b_lysimacheia_lysimacheia_aitolia
132=wetlands # b_paianion_lysimacheia_aitolia
862=forest # b_eurytania_eurytania
861=hills # b_eiteia_eurytania
134=hills # b_pras_agraia
863=hills # b_ephyra_agraia
867=mountains # b_aperantia_aperantia
135=mountains # b_oichalia_aperantia

### AKARNANIA
#141=plains # b_anaktorion_anaktorion
140=hills # b_thyrreion_anaktorion
137=farmlands # b_stratos_stratos
864=hills # b_limnaia_stratos
865=hills # b_phoitiai_stratos
139=wetlands # b_oiniadai_oiniadai
138=hills # b_alyzeia_oiniadai
142=hills # b_leukas_leukas
866=hills # b_hellomenon_leukas

### IONIOI NESOI
230=hills # b_korkyra_korkyra
231=hills # b_kassiope_korkyra
146=hills # b_same_kephallenia
147=hills # b_pale_kephallenia
#148=plains # b_zakynthos_zakynthos

### EUBOIA
153=farmlands # b_chalkis_chalkis
151=hills # b_kerinthos_chalkis
152=mountains # b_aigai_chalkis
#154=plains # b_eretria_eretria
155=hills # b_tamynai_eretria
156=mountains # b_teleidai_eretria
157=hills # b_styra_eretria
150=farmlands # b_oreos_oreos
149=mountains # b_aidepsos_oreos
#158=plains # b_karystos_karystos
492=hills # b_marmarion_karystos

### KYKLADES
386=hills # b_tenos_delos
388=hills # b_delos_delos
387=hills # b_syros_delos
383=mountains # b_andros_andros
384=hills # b_keos_andros
385=hills # b_kythnos_andros
391=hills # b_melos_melos
392=hills # b_pholegandros_melos
393=hills # b_paros_paros
389=hills # b_seriphos_paros
390=hills # b_siphnos_paros
394=hills # b_naxos_naxos
395=hills # b_ios_naxos
396=hills # b_amorgos_naxos
397=hills # b_thera_thera
398=hills # b_anaphe_thera
399=hills # b_astypalaia_astypalaia

## THESSALY ###################################

### MAGNESIA
#169=plains # b_demetrias_demetrias
167=hills # b_olizon_demetrias
168=mountains # b_korope_demetrias
170=mountains # b_boibe_demetrias
206=farmlands # b_homolion_homolion
171=mountains # b_meliboia_homolion
172=hills # b_sykyrion_homolion
382=mountains # b_skyros_sporades
381=hills # b_peparethos_sporades

### MALIS
161=farmlands # b_lamia_lamia
160=hills # b_phalara_lamia
162=valley # b_herakleia_trachinia_trachis
493=mountains # b_pyra_trachis
163=forest # b_hypata_ainis
164=hills # b_spercheiai_ainis
145=mountains # b_ktimene_dolopia
193=hills # b_angeia_dolopia

### ACHAIA PHTHIOTIS
177=farmlands # b_thebai_phthiotides_thebai_phthiotides
#176=plains # b_itonos_thebai_phthiotides
178=hills # b_pyrasos_thebai_phthiotides
179=hills # b_eretria_thebai_phthiotides
174=hills # b_larissa_kremaste_larissa_kremaste
#175=plains # b_halos_larissa_kremaste
#180=plains # b_proerna_proerna
182=hills # b_thaumakoi_proerna
183=hills # b_ekarra_proerna
#181=plains # b_melitaia_melitaia
494=hills # b_xyniai_melitaia
881=hills # b_peuma_melitaia

### PELASGIOTIS
190=farmlands # b_larissa_larissa
#191=plains # b_chalkai_larissa
192=hills # b_gyrtone_larissa
882=wetlands # b_tripolis_larissa
210=farmlands # b_argoura_argoura
#209=plains # b_kondaia_argoura
#185=plains # b_pherai_pherai_pelasgiotis
#186=plains # b_armenion_pherai_pelasgiotis
187=hills # b_skotoussa_pherai_pelasgiotis
188=hills # b_krannon_krannon
189=hills # b_atrax_krannon

### THESSALIOTIS
199=hills # b_pharsalos_pharsalos
#196=plains # b_limnaion_pharsalos
#197=plains # b_euhydrion_pharsalos
#198=plains # b_thetonion_pharsalos
#195=plains # b_kierion_kierion
#194=plains # b_philia_kierion
#879=plains # b_methylion_kierion

### HESTIAIOTIS
#203=plains # b_trikka_trikka
#202=plains # b_pialeia_trikka
#204=plains # b_pelinna_trikka
#205=plains # b_pharkadon_trikka
200=hills # b_metropolis_metropolis
201=hills # b_gomphoi_metropolis
303=hills # b_phaloreia_phaloreia
304=hills # b_oxyneia_phaloreia

### PERRHAIBIA
#215=plains # b_olooson_olooson
212=hills # b_chyretiai_olooson
213=hills # b_malloia_olooson
#211=plains # b_phalanna_olooson
207=valley # b_gonnoi_gonnoi
208=mountains # b_askyris_gonnoi
#214=plains # b_azoros_tripolis
696=hills # b_doliche_tripolis
697=hills # b_pythion_tripolis

## EPEIROS ###################################

### DRYOPIS
223=farmlands # b_ambrakia_ambrakia
222=wetlands # b_ambrakos_ambrakia
495=hills # b_horraon_ambrakia
#220=plains # b_argos_amphilochia
#221=plains # b_idomene_amphilochia

### ATHAMANIA
218=valley # b_argithaia_argithaia
500=mountains # b_athenaion_argithaia
501=mountains # b_herakleia_argithaia
499=mountains # b_chalkis_chalkis_athamania
219=mountains # b_theudoria_chalkis_athamania
872=valley # b_tetraphylia_tetraphylia
875=valley # b_aithikia_tetraphylia

### THESPROTIA
229=wetlands # b_kichyros_kichyros
227=valley # b_elea_kichyros
225=hills # b_kassope_kassope
224=wetlands # b_batiai_kassope
243=hills # b_gitana_gitana
228=hills # b_elinia_gitana

### MOLOSSIS
234=valley # b_dodona_dodona
226=valley # b_onopernoi_dodona
#237=plains # b_passaron_passaron
#239=plains # b_helikranon_passaron
235=forest # b_eurymenai_passaron
246=mountains # b_phanota_phanota
238=valley # b_ilion_phanota

### CHAONIA
245=wetlands # b_phoinike_phoinike
#244=plains # b_bouthroton_phoinike
247=valley # b_antigoneia_antigoneia
252=valley # b_hekatompedon_antigoneia
249=valley # b_orikon_orikon
248=mountains # b_panormos_orikon
251=hills # b_amantia_amantia
#250=plains # b_aulon_amantia

### PARAUAIA
266=valley # b_paroraia_paroraia
253=valley # b_eriboia_paroraia
265=valley # b_artichia_triphylia
264=mountains # b_phrourion_pyrrhou_triphylia

### TYMPHAIA
307=mountains # b_aiginion_aiginion
308=mountains # b_genoaioi_aiginion
305=hills # b_herkeia_aiginion
504=mountains # b_trampya_trampya
236=mountains # b_bouneima_trampya

### ORESTIS
#311=plains # b_argos_orestikon_argos_orestikon
854=hills # b_battyna_argos_orestikon
#312=plains # b_keletron_keletron
315=valley # b_lyke_keletron
853=hills # b_ethnestai_ethnestai
310=mountains # b_hekateion_ethnestai
#313=plains # b_pelion_pelion
314=hills # b_psarades_pelion

## MAKEDONIA ###################################

### BOTTIAIA
283=farmlands # b_pella_pella
284=wetlands # b_allante_pella
333=hills # b_europos_pella
#276=plains # b_aigai_aigai
846=wetlands # b_aloros_aigai
#279=plains # b_berroia_berroia
#363=plains # b_mieza_berroia
890=wetlands # b_kyneoi_berroia
280=hills # b_edessa_edessa
#281=plains # b_kyrros_edessa
888= wetlands # b_skydra_edessa
282=forest # b_europos_almopia
889=forest # b_horma_almopia
#275=plains # b_dion_dion
274=hills # b_leibethra_dion
842=mountains # b_petra_dion
843=hills # b_phylakai_dion
#277=plains # b_pydna_pydna
#278=plains # b_methone_pydna
#336=plains # b_eidomene_eidomene
#335=plains # b_gortyna_eidomene

### ELIMIOTIS
293=hills # b_aiane_aiane
#292=plains # b_oblostos_aiane
847=valley # b_alebaia_aiane
848=hills # b_balla_aiane
#294=plains # b_arkynia_arkynia
849=hills # b_megara_arkynia
309=hills # b_eratyra_eratyra
306=hills # b_tela_eratyra

### EORDAIA
#296=plains # b_arnisa_arnisa
297=hills # b_kormestai_arnisa
#851=plains # b_krannestai_arnisa
299=hills # b_bokeria_bokeria
298=mountains # b_kellai_bokeria
852=hills # b_bryne_bokeria
295=valley # b_euia_euia
#850=plains # b_greia_euia

### LYNKESTIS
#321=plains # b_herakleia_lynkestis_herakleia_lynkestis
322=valley # b_parembole_herakleia_lynkestis
2129=valley # b_skirtiana_herakleia_lynkestis
#319=plains # b_melitonous_melitonous
320=mountains # b_artemision_melitonous

### AMPHAXITIS
#287=plains # b_thessalonike_thessalonike
285=wetlands # b_chalastra_thessalonike
#286=plains # b_sindos_thessalonike
#347=plains # b_aineia_thessalonike
900=forest # b_gareskos_gareskos
901=hills # b_kallipolis_gareskos
#334=plains # b_moryllos_moryllos
337=forest # b_bragylai_moryllos
338=forest # b_ioros_moryllos
342=hills # b_kalindoia_kalindoia
341=hills # b_anthemous_kalindoia
344=hills # b_arethousa_arethousa
343=hills # b_apollonia_arethousa
#359=plains # b_lete_lete
360=hills # b_physka_lete
#899=plains # b_xylopolis_lete

### CHALKIDIKE
#350=plains # b_kassandreia_kassandreia
351=hills # b_mende_kassandreia
#348=plains # b_spartolos_spartolos
#868=plains # b_tinde_spartolos
352=hills # b_torone_torone
353=hills # b_singos_torone
354=farmlands # b_sermylia_olynthos
349=farmlands # b_olynthos_olynthos
#897=plains # b_stolos_olynthos
355=hills # b_akanthos_akanthos
356=valley # b_stageira_akanthos
358=mountains # b_akrothooi_akrothooi
357=hills # b_ouranopolis_akrothooi

### PARASTRYMONIA
#369=plains # b_amphipolis_amphipolis
368=valley # b_argilos_amphipolis
370=valley # b_methone_amphipolis
371=valley # b_oisyme_amphipolis
898=hills # b_ossa_ossa
902=mountains # b_bedyndia_ossa
#362=plains # b_tragilos_tragilos
#361=plains # b_arrolos_tragilos
#903=plains # b_euporia_tragilos
365=wetlands # b_berge_berge
367=forest # b_gazoros_berge
366=wetlands # b_sirra_sirra
#364=plains # b_skotoussa_sirra
373=wetlands # b_philippoi_philippoi
372=hills # b_neapolis_philippoi
374=forest # b_tripolis_philippoi
#375=plains # b_domeros_philippoi

## KRETE ###################################

### ETEOKRETE
#402=plains # b_hierapytna_hierapytna
404=mountains # b_priansos_hierapytna
407=hills # b_arkades_hierapytna
400=hills # b_itanos_itanos
701=mountains # b_eleia_itanos
401=hills # b_praisos_praisos
700=hills # b_stalai_praisos
406=hills # b_lyktos_lyktos
403=valley # b_olous_lyktos

### KRETAIEIS
409=farmlands # b_gortyn_gortyn
410=mountains # b_idaion_antron_gortyn
412=hills # b_kaudos_gortyn
#699=plains # b_phaistos_gortyn
415=hills # b_eleutherna_eleutherna
411=valley # b_sybrita_eleutherna
413=farmlands # b_knossos_knossos
414=hills # b_axos_knossos
408=hills # b_rhaukos_knossos

### KYDONIA
422=hills # b_polyrhen_polyrhen
423=mountains # b_kantanos_polyrhen
421=mountains # b_diktynnaion_polyrhen
#420=plains # b_kydonia_kydonia
698=hills # b_keraia_kydonia
418=hills # b_lappa_lappa
419=hills # b_aptera_lappa
424=mountains # b_hyrtakina_oreia
417=mountains # b_phoinix_oreia

################
# ASIA
################

## HELLESPONTINE PHRYGIA ###################################

### TROAS
514=farmlands # b_ilion_ilion
#513=plains # b_tenedos_ilion
#515=plains # b_skamandreia_ilion
#509=plains # b_assos_assos
#508=plains # b_gargara_assos
526=mountains # b_antandros_assos
#511=plains # b_alexandria_troas_alexandria_troas
#510=plains # b_larisa_alexandria_troas
#512=plains # b_kebren_alexandria_troas
#517=plains # b_skepsis_skepsis
#516=plains # b_gergis_skepsis
#518=plains # b_kenchreai_skepsis
#521=plains # b_abydos_abydos
#519=plains # b_dardanos_abydos
#520=plains # b_kremaste_abydos
#523=plains # b_lampsakos_lampsakos
#522=plains # b_perkote_lampsakos
#524=plains # b_kolonai_lampsakos
#707=plains # b_parion_parion
#708=plains # b_priapos_parion
#709=plains # b_didymateiche_parion

### PERGAMON
535=farmlands # b_pergamon_pergamon
#534=plains # b_teuthrania_pergamon
#827=plains # b_halisarna_pergamon
533=valley # b_perperene_pergamon
#729=plains # b_gambreion_gambreion
#730=plains # b_parthenion_gambreion
#728=plains # b_hiera_germe_hiera_germe
#828=plains # b_apollonia_hiera_germe
#825=plains # b_atarneus_atarneus
#824=plains # b_kisthene_atarneus
#528=plains # b_adramyttion_adramyttion
#527=plains # b_lyrnessos_adramyttion
823=hills # b_thebe_adramyttion

### MYSIA
719=farmlands # b_kyzikos_kyzikos
#720=plains # b_artake_kyzikos
#721=plains # b_prokonnesos_kyzikos
722=hills # b_plakia_kyzikos
#717=plains # b_daskyleion_daskyleion
#716=plains # b_poimanenon_daskyleion
#723=plains # b_apollonia_apollonia_rhyndakon
#724=plains # b_daphnous_apollonia_rhyndakon
#725=plains # b_miletopolis_miletopolis
#718=plains # b_miletouteichos_miletopolis

### ZELEIA
#714=plains # b_zeleia_zeleia
#715=plains # b_varis_zeleia
713=hills # b_karesos_karesene
710=hills # b_kale_peuke_karesene
711=hills # b_argyria_argyria
712=hills # b_argiza_argyria

### TEMNIS
#731=plains # b_pioniai_pioniai
#732=plains # b_apias_pioniai
734=hills # b_attea_attea
733=hills # b_gergitha_attea
#736=plains # b_pericharaxis_pericharaxis
735=hills # b_laneion_pericharaxis

### ABRETTENE
753=valley # b_ankyra_abbaiatis
740=valley # b_mekestaleia_abbaiatis
743=hills # b_ariste_ariste
741=hills # b_zeus_thimenos_ariste
742=valley # b_kybele_ariste
751=valley # b_skodrena_skodrena
744=hills # b_sittena_skodrena
746=valley # b_dagoutene_olympene
745=valley # b_zeus_kersoullos_olympene
748=hills # b_palox_palox
747=hills # b_kybele_palox
752=hills # b_synaos_synaos
749=hills # b_aliana_synaos
750=hills # b_akrokos_synaos

### BITHYNIA
772=farmlands # b_astakos_astakos
#1259=plains # b_elaia_astakos
#768=plains # b_olbia_astakos
769=hills # b_megarikon_astakos
1260=hills # b_kalasyrta_astakos
775=hills # b_libyssa_libyssa
776=hills # b_charax_libyssa
1257=hills # b_dakibyza_libyssa
#777=plains # b_chalkedon_chalkedon
#778=plains # b_chrysopolis_chalkedon
779=hills # b_hieron_chalkedon
774=hills # b_prindea_prindea
#773=plains # b_kassa_prindea
#784=plains # b_petrozetoi_petrozetoi
783=hills # b_deramoska_petrozetoi
781=hills # b_byzapena_petrozetoi
1251=hills # b_triknaita_triknaita
1250=hills # b_pouropai_triknaita
1252=hills # b_morzapena_triknaita

### THYNIA
1290=forest # b_thynias_thynias
785=hills # b_kalpe_thynias
786=forest # b_rhakela_thynias
782=forest # b_psillion_psillion
1253=hills # b_tenba_psillion
780=hills # b_artanes_artanes
1254=hills # b_chelaita_artanes
1256=hills # b_rhebas_rhebas
1255=valley # b_mandrai_rhebas

### HERAKLEOTIS
#802=plains # b_herakleia_herakleia_pontike
1242=mountains # b_kynna_herakleia_pontike
801=hills # b_kales_herakleia_pontike
803=hills # b_oxinas_herakleia_pontike
805=valley # b_tios_tios
804=hills # b_sandarake_tios
800=hills # b_elaios_elaios
799=hills # b_dia_elaios
794=forest # b_leada_leada
1246=forest # b_pouzane_leada
1243=mountains # b_arkiroessa_arkiroessa
1244=mountains # b_priola_arkiroessa

### MARIANDYNIA
797=farmlands # b_bithynion_salon
798=hills # b_dadokome_salon
1288=hills # b_kouslanka_salon
#795=plains # b_kieros_kieros
#796=plains # b_enbolos_kieros
#1286=plains # b_lausos_kieros
819=valley # b_modra_modrene
1289=valley # b_tmatea_modrene
818=valley # b_kadossia_kadossia
820=valley # b_kersine_kadossia
#793=plains # b_tarsos_tarsos
#1284=plains # b_kybena_tarsos
1285=hills # b_biztinianas_tarsos
1283=hills # b_zipoition_zipoition
#1282=plains # b_simana_zipoition

### SANGARITIS
766=farmlands # b_nikaia_nikaia
#765=plains # b_terbos_nikaia
#1280=plains # b_kabia_nikaia
806=hills # b_kizoura_nikaia
1291=hills # b_liada_nikaia
#822=plains # b_tattaios_tattaios
807=hills # b_eikrala_tattaios
1281=hills # b_chogeae_tattaios
817=hills # b_dableis_dableis
821=hills # b_ontoraita_dableis
816=hills # b_apsoda_dableis
1277=valley # b_gallika_gallika
1278=valley # b_boleia_gallika
1279=valley # b_lamneis_gallika
814=hills # b_ceratae_oka
811=mountains # b_oka_oka
1276=mountains # b_hiaraza_oka

### RHEBANTIA
1265=hills # b_kalydnion_kalydnion
#757=plains # b_sarkotyle_kalydnion
756=mountains # b_tataula_kalydnion
764=hills # b_otroia_otroia
#1266=plains # b_takomis_otroia
808=hills # b_agrilion_agrilion
1271=hills # b_kaloukome_agrilion
1268=hills # b_plassye_plassyene
1267=hills # b_mygdum_plassyene
#809=plains # b_pronnoia_pronnoia
810=hills # b_pithekas_pronnoia

### ASKANIA
#759=plains # b_kios_kios
#762=plains # b_charmidea_kios
763=hills # b_pythopolis_kios
767=hills # b_tetrakomia_kios
770=hills # b_pylai_pylai
1261=hills # b_strobilos_pylai
760=mountains # b_sangaros_pylai
758=hills # b_myrleia_myrleia
#754=plains # b_helge_myrleia
#1262=plains # b_eikote_myrleia
1263=hills # b_daskyleion_daskyleion_propontis
#1264=plains # b_artaiou_teichos_daskyleion_propontis
#723=plains # b_apollonia_apollonia_rhyndakos
724=hills # b_daphnous_apollonia_rhyndakos

## LYDIA ###################################

### IONIA
#548=plains # b_klazomenai_klazomenai
546=hills # b_smyrna_klazomenai
#547=plains # b_metropolis_klazomenai
549=hills # b_erythrai_erythrai
550=hills # b_polichna_erythrai
#551=plains # b_boutheia_erythrai
552=hills # b_chios_chios
#553=plains # b_phanai_chios
556=hills # b_kolophon_kolophon
#554=plains # b_teos_kolophon
#555=plains # b_lebedos_kolophon
#557=plains # b_ephesos_ephesos
558=mountains # b_priene_ephesos
570=hills # b_maiandros_ephesos
561=hills # b_samos_samos
560=hills # b_anaia_samos
562=hills # b_kalamoi_samos
563=hills # b_therma_ikaros
564=hills # b_oinoe_ikaros

### AIOLIS
530=farmlands # b_mytilene_mytilene
#529=plains # b_nasos_mytilene
829=hills # b_pyrrha_mytilene
531=hills # b_methymna_methymna
#532=plains # b_eresos_methymna
830=hills # b_antissa_methymna
#537=plains # b_phokaia_phokaia
#538=plains # b_kyllene_phokaia
#539=plains # b_kyme_kyme
#540=plains # b_aigai_kyme
541=hills # b_temnos_kyme
#536=plains # b_elaia_elaia
#826=plains # b_pitane_elaia

### KAYSTROS
643=farmlands # b_magnesia_magnesia_lydia
641=hills # b_nysa_magnesia_lydia
642=hills # b_euanthia_magnesia_lydia
#644=plains # b_anokome_anokome
#645=plains # b_chondra_anokome
647=hills # b_hypaipa_hypaipa
646=hills # b_siklia_hypaipa
#648=plains # b_kleimaka_hypaipa
#649=plains # b_kaira_kaira
650=hills # b_palaiapolis_kaira
651=valley # b_koloe_koloe
652=valley # b_tarigya_koloe

### MAIONIA
#664=plains # b_magnesia_magnesia_sipylon
653=valley # b_mostene_magnesia_sipylon
#663=plains # b_hyrkanis_magnesia_sipylon
656=farmlands # b_sardis_sardis
#654=plains # b_troketta_sardis
#655=plains # b_tmolos_sardis
659=hills # b_maiboza_sardis
658=mountains # b_tomara_sardis
#660=plains # b_thyateira_thyateira
#661=plains # b_kamai_thyateira
#662=plains # b_hierokome_thyateira
#727=plains # b_nakrason_nakrason
#726=plains # b_tibbai_nakrason

### KATAKEKAUMENE
657=hills # b_daldis_daldis
666=valley # b_gordos_daldis
670=drylands # b_saittai_saittai
667=hills # b_antigonios_saittai
669=hills # b_odon_saittai
671=hills # b_silandos_silandos
668=hills # b_sabazios_silandos
673=drylands # b_tabala_tabala
672=drylands # b_bagis_tabala
674=hills # b_kastolos_tabala
#677=plains # b_philadelphaia_philadelphaia
675=hills # b_satala_philadelphaia
676=hills # b_maionia_philadelphaia
#679=plains # b_apollonos_apollonos
#678=plains # b_phileis_apollonos

### MOKADENE
682=hills # b_temenouthyrai_temenouthyrai
680=hills # b_lyendos_temenouthyrai
681=hills # b_asteles_temenouthyrai
683=drylands # b_blaundos_blaundos
684=drylands # b_sebaste_blaundos
685=drylands # b_dioskome_blaundos
686=drylands # b_akmonia_akmonia
687=hills # b_panasion_akmonia
688=drylands # b_lankena_akmonia

### HYRGALEON
622=drylands # b_laodikeia_kolossai
621=hills # b_attouda_kolossai
623=hills # b_kolossai_kolossai
691=hills # b_mossyna_mossyna
689=hills # b_dionysoupolis_mossyna
690=hills # b_motella_mossyna
692=hills # b_thiounta_thiounta
693=drylands # b_saloudeia_thiounta
694=hills # b_tripolis_tripolis_lydia
695=hills # b_hierapolis_tripolis_lydia

## KARIA ###################################

### DORIS
#572=plains # b_miletos_miletos
571=hills # b_ioniapolis_miletos
573=hills # b_teichioussa_miletos
#574=plains # b_lepsia_miletos
#559=plains # b_myous_miletos
#576=plains # b_kos_kos
#575=plains # b_kalymna_kos
577=hills # b_astypalaia_kos
#578=plains # b_mylasa_mylasa
#579=plains # b_bargylia_mylasa
#580=plains # b_hydissos_mylasa
581=farmlands # b_halikarnassos_halikarnassos
#582=plains # b_theangela_halikarnassos
583=hills # b_keramos_halikarnassos
584=mountains # b_idyma_idyma
585=hills # b_kyllandos_idyma
586=hills # b_physkos_idyma
#587=plains # b_loryma_loryma
#588=plains # b_syme_loryma
589=hills # b_kaunos_kaunos
#590=plains # b_kalynda_kaunos
592=hills # b_knidos_knidos
#591=plains # b_stadia_knidos
594=farmlands # b_rhodos_rhodos
#593=plains # b_telos_rhodos
595=hills # b_kamiros_rhodos
#596=plains # b_lindos_rhodos
597=hills # b_karpathos_karpathos
#598=plains # b_kasos_karpathos

### IDRIAS
604=mountains # b_alexandreia_karia_alexandreia_karia
603=hills # b_amyzon_alexandreia_karia
605=hills # b_alabanda_alabanda
#606=plains # b_euhippe_alabanda
607=hills # b_gerga_alabanda
608=hills # b_chrysaoris_chrysaoris
609=hills # b_pisye_chrysaoris

### SALBAKE
#613=plains # b_antiocheia_antiocheia_karia
#612=plains # b_harpasa_antiocheia_karia
#611=plains # b_bargasa_bargasa
610=mountains # b_hyllarima_bargasa
616=hills # b_apollonia_apollonia_salbakes
615=valley # b_herakleia_apollonia_salbakes
618=hills # b_tabai_apollonia_salbakes
614=drylands # b_aphrodisias_aphrodisias
617=hills # b_plarasa_aphrodisias
619=hills # b_kidrama_skiritis
620=hills # b_mokolda_skiritis

## GALATIA ###################################
815=mountains # b_dadastana_dadastana

################
# THRAKE
################

## HAIMOS ###################################

### ODRYSIA
1128=farmlands # b_philippoupolis_philippoupolis
1129=farmlands # b_tougougeron_philippoupolis
1754=plains # b_zeindrouma_philippoupolis
1755=plains # b_dezika_philippoupolis
1761=plains # b_bourdapa_bourdapa
1759=plains # b_roudaskybradiza_bourdapa
1760=plains # b_kalasa_bourdapa
1762=plains # b_pistiros_pistiros
1763=hills # b_roudabria_pistiros
1758=plains # b_eitriza_eitriza
1756=plains # b_bendipara_eitriza
1757=plains # b_geizagera_eitriza
1765=hills # b_artasadama_artasadama
1764=hills # b_gaidarzadiza_artasadama
1750=plains # b_bedekyra_bedekyra
1751=hills # b_askrepytras_bedekyra
1752=plains # b_kellai_kellai
1753=plains # b_gerea_kellai
1127=plains # b_stenimakhos_stenimakhos
1125=forest # b_zbelperdoun_stenimakhos
1126=plains # b_beithypara_stenimakhos

### HAIMOS
1744=plains # b_seuthopolis_seuthopolis
1742=forest # b_teradeia_seuthopolis
1743=hills # b_zerdai_seuthopolis
1728=plains # b_kalsos_kalsos
1729=hills # b_artakia_kalsos
1745=plains # b_bairazakadon_bairazakadon
1746=mountains # b_atskasaradatan_bairazakadon
1747=hills # b_brentopara_brentopara
1748=hills # b_mosypa_brentopara
1749=plains # b_zerkla_brentopara
